DateTime 	Ht-T-45 	 Ht-T-30 	Ht-T-15	Height 	BatVs
Tue Aug 13 22:50 	127.42 	127.11 	126.99 	126.83 	4.1
Tue Aug 13 21:50 	127.94 	127.82 	127.7 	127.54 	4.1
Tue Aug 13 20:50 	128.41 	128.33 	128.21 	128.09 	4.1
Tue Aug 13 19:50 	128.92 	128.76 	128.61 	128.49 	4.2
Tue Aug 13 18:50 	129.31 	129.12 	129.0 	129.04 	4.2
Tue Aug 13 17:50 	130.06 	129.94 	129.75 	129.51 	4.1
Tue Aug 13 16:50 	130.65 	130.57 	130.26 	130.14 	4.1
Tue Aug 13 15:51 	130.65 	130.65 	129.94 	130.65 	4.1
Tue Aug 13 14:50 	128.92 	130.65 	126.6 	128.17 	4.2
Tue Aug 13 13:50 	128.49 	130.65 	130.65 	128.76 	4.2
Tue Aug 13 12:50 	126.91 	130.65 	129.79 	130.65 	4.2
Tue Aug 13 11:50 	130.65 	126.48 	130.65 	130.65 	4.2
Tue Aug 13 10:50 	130.65 	129.2 	130.65 	130.65 	4.2
Tue Aug 13 09:50 	130.65 	127.74 	129.9 	130.65 	4.1
Tue Aug 13 08:50 	125.73 	126.87 	128.41 	130.46 	4.2
Tue Aug 13 07:50 	125.73 	125.57 	125.42 	125.3 	4.1
Tue Aug 13 06:50 	126.2 	126.09 	126.01 	125.85 	4.0
Tue Aug 13 05:50 	126.68 	126.56 	126.44 	126.32 	4.0
Tue Aug 13 04:51 	127.11 	126.99 	126.87 	126.75 	4.0
Tue Aug 13 03:51 	127.74 	127.62 	127.35 	127.38 	4.0
Tue Aug 13 02:50 	128.17 	128.05 	127.94 	127.82 	4.1
Tue Aug 13 01:50 	128.61 	128.53 	128.41 	128.29 	4.1
Tue Aug 13 00:50 	129.04 	128.92 	128.8 	128.72 	4.1
Mon Aug 12 23:50 	129.43 	129.35 	129.24 	129.12 	4.1
Mon Aug 12 22:50 	129.9 	129.83 	129.67 	129.55 	4.1
Mon Aug 12 21:50 	130.42 	130.3 	130.14 	130.02 	4.1
Mon Aug 12 20:50 	130.65 	130.65 	130.65 	130.53 	4.1
Mon Aug 12 19:50 	130.65 	130.65 	128.72 	127.78 	4.1
Mon Aug 12 18:50 	129.47 	130.65 	130.65 	130.65 	4.1
Mon Aug 12 17:51 	130.65 	127.46 	130.65 	128.41 	4.1
Mon Aug 12 16:50 	128.25 	128.92 	130.65 	128.17 	4.1
Mon Aug 12 15:50 	128.53 	130.65 	130.65 	130.65 	4.1
Mon Aug 12 14:50 	130.65 	130.65 	130.65 	127.35 	4.1
Mon Aug 12 13:50 	130.65 	129.51 	130.65 	129.51 	4.1
Mon Aug 12 12:50 	128.21 	128.17 	130.65 	130.65 	4.1
Mon Aug 12 11:50 	130.65 	128.45 	128.76 	130.65 	4.1
Mon Aug 12 10:50 	130.14 	130.65 	128.53 	130.65 	4.2
Mon Aug 12 09:50 	130.65 	126.56 	128.76 	130.65 	4.2
Mon Aug 12 08:50 	126.68 	127.94 	129.55 	130.65 	4.2
Mon Aug 12 07:50 	126.12 	125.93 	125.81 	125.93 	4.1
Mon Aug 12 06:50 	126.6 	126.48 	126.36 	126.24 	4.0
Mon Aug 12 05:50 	126.95 	126.87 	126.79 	126.68 	4.0
Mon Aug 12 04:50 	127.58 	127.31 	127.38 	127.11 	4.0
Mon Aug 12 03:50 	127.98 	127.86 	127.78 	127.66 	4.1
Mon Aug 12 02:50 	128.37 	128.25 	128.17 	128.09 	4.1
Mon Aug 12 01:50 	128.68 	128.64 	128.57 	128.45 	4.1
Mon Aug 12 00:50 	129.12 	129.0 	128.88 	128.8 	4.1
Sun Aug 11 23:50 	129.55 	129.47 	129.35 	129.24 	4.1
Sun Aug 11 22:50 	129.94 	129.87 	129.79 	129.67 	4.1
Sun Aug 11 21:50 	130.34 	130.26 	130.18 	130.06 	4.1
Sun Aug 11 20:50 	130.65 	130.65 	130.65 	130.46 	4.1
Sun Aug 11 19:50 	130.65 	130.65 	128.17 	130.65 	4.1
Sun Aug 11 18:50 	130.65 	130.65 	130.65 	130.65 	4.1
Sun Aug 11 17:50 	130.65 	130.65 	130.65 	130.65 	4.2
Sun Aug 11 16:50 	130.65 	130.65 	130.65 	126.56 	4.1
Sun Aug 11 15:50 	127.31 	128.09 	130.65 	128.76 	4.1
Sun Aug 11 14:50 	129.16 	130.65 	130.65 	130.65 	4.1
Sun Aug 11 13:50 	130.46 	127.07 	128.53 	130.65 	4.1
Sun Aug 11 12:50 	130.65 	130.65 	130.65 	128.64 	4.1
Sun Aug 11 11:50 	130.65 	130.65 	127.82 	129.47 	4.2
Sun Aug 11 10:51 	130.65 	127.94 	128.84 	130.65 	4.2
Sun Aug 11 09:50 	130.65 	127.94 	130.65 	130.65 	4.2
Sun Aug 11 08:50 	126.79 	128.09 	129.87 	130.65 	4.2
Sun Aug 11 07:50 	126.01 	125.85 	125.73 	125.93 	4.1
Sun Aug 11 06:50 	126.44 	126.36 	126.24 	126.16 	4.0
Sun Aug 11 05:50 	126.83 	126.75 	126.64 	126.56 	4.0
Sun Aug 11 04:50 	127.27 	127.15 	127.03 	126.95 	4.0
Sun Aug 11 03:50 	127.82 	127.54 	127.46 	127.35 	4.0
Sun Aug 11 02:50 	128.17 	128.09 	128.01 	127.9 	4.0
Sun Aug 11 01:51 	128.57 	128.45 	128.33 	128.25 	4.1
Sun Aug 11 00:50 	128.96 	128.84 	128.76 	128.64 	4.1
Sat Aug 10 23:50 	129.31 	129.24 	129.12 	129.04 	4.1
Sat Aug 10 22:50 	129.63 	129.55 	129.43 	129.35 	4.1
Sat Aug 10 21:50 	130.02 	129.9 	129.83 	129.75 	4.1
Sat Aug 10 20:50 	130.38 	130.3 	130.22 	130.1 	4.1
