DateTime 	Ht-T-45 	 Ht-T-30 	Ht-T-15	Height 	BatVs
Tue Aug 12 14:57 	0.11 	0.12 	0.12 	0.12 	4.6
Tue Aug 12 13:59 	0.13 	0.14 	0.13 	0.12 	4.6
Tue Aug 12 11:57 	0.16 	0.14 	0.15 	0.15 	4.6
Tue Aug 12 10:57 	0.15 	0.16 	0.15 	0.15 	4.6
Tue Aug 12 07:57 	0.16 	0.16 	0.17 	0.16 	4.5
Tue Aug 12 06:58 	0.16 	0.16 	0.16 	0.17 	3.8
Tue Aug 12 05:57 	0.16 	0.16 	0.16 	0.16 	3.8
Tue Aug 12 04:56 	0.15 	0.15 	0.15 	0.16 	3.8
Tue Aug 12 04:00 	0.15 	0.15 	0.15 	0.15 	3.8
Tue Aug 12 03:01 	0.15 	0.15 	0.15 	0.15 	3.8
Tue Aug 12 02:58 	0.15 	0.15 	0.15 	0.15 	3.8
Tue Aug 12 01:56 	0.14 	0.14 	0.14 	0.15 	3.8
Tue Aug 12 00:56 	0.14 	0.14 	0.14 	0.15 	3.8
Tue Aug 12 00:00 	0.13 	0.13 	0.13 	0.14 	3.8
Mon Aug 11 21:57 	0.13 	0.13 	0.13 	0.13 	3.8
Mon Aug 11 20:59 	0.12 	0.12 	0.13 	0.13 	3.8
Mon Aug 11 18:58 	0.08 	0.1 	0.11 	0.11 	4.6
Mon Aug 11 18:00 	0.12 	0.11 	0.08 	0.1 	4.6
Mon Aug 11 16:57 	0.12 	0.11 	0.12 	0.11 	4.6
Mon Aug 11 15:58 	0.13 	0.13 	0.13 	0.12 	4.5
Mon Aug 11 15:01 	0.15 	0.14 	0.14 	0.14 	4.6
Mon Aug 11 12:58 	0.17 	0.16 	0.17 	0.16 	4.6
Mon Aug 11 10:59 	0.17 	0.17 	0.18 	0.17 	4.6
Mon Aug 11 09:59 	0.17 	0.17 	0.18 	0.17 	4.6
Mon Aug 11 09:00 	0.19 	0.18 	0.2 	0.18 	4.6
Mon Aug 11 06:59 	0.19 	0.19 	0.19 	0.19 	3.8
Mon Aug 11 06:00 	0.18 	0.18 	0.19 	0.18 	3.8
Mon Aug 11 05:01 	0.18 	0.18 	0.18 	0.18 	3.8
Mon Aug 11 03:58 	0.18 	0.18 	0.18 	0.17 	3.8
Mon Aug 11 02:58 	0.18 	0.18 	0.18 	0.17 	3.8
Mon Aug 11 02:00 	0.17 	0.17 	0.17 	0.17 	3.8
Sun Aug 10 23:59 	0.16 	0.16 	0.17 	0.17 	3.8
Sun Aug 10 22:58 	0.18 	0.18 	0.17 	0.15 	3.8
Sun Aug 10 21:58 	0.17 	0.17 	0.17 	0.17 	3.8
Sun Aug 10 21:00 	0.16 	0.17 	0.17 	0.17 	3.8
Sun Aug 10 20:00 	0.16 	0.16 	0.17 	0.16 	3.8
Sun Aug 10 18:58 	0.11 	0.14 	0.15 	0.17 	4.6
Sun Aug 10 17:03 	0.16 	0.15 	0.15 	0.17 	4.6
Sun Aug 10 15:00 	0.2 	0.19 	0.19 	0.19 	4.6
Sun Aug 10 14:02 	0.21 	0.2 	0.2 	0.2 	4.6
Sun Aug 10 12:01 	0.21 	0.21 	0.21 	0.2 	4.0
Sun Aug 10 10:59 	0.21 	0.21 	0.22 	0.2 	4.6
Sun Aug 10 09:59 	0.2 	0.21 	0.2 	0.2 	3.8
Sun Aug 10 08:59 	0.22 	0.21 	0.21 	0.22 	4.6
Sun Aug 10 08:01 	0.21 	0.21 	0.21 	0.21 	3.8
Sun Aug 10 07:01 	0.21 	0.21 	0.22 	0.21 	3.8
Sun Aug 10 05:58 	0.21 	0.21 	0.21 	0.2 	3.8
Sun Aug 10 04:58 	0.2 	0.2 	0.21 	0.21 	3.8
Sun Aug 10 03:58 	0.2 	0.2 	0.21 	0.21 	3.8
Sun Aug 10 02:58 	0.2 	0.2 	0.2 	0.21 	3.8
Sun Aug 10 01:58 	0.19 	0.19 	0.19 	0.2 	3.8
Sun Aug 10 01:00 	0.2 	0.19 	0.18 	0.19 	3.8
Sat Aug 9 22:58 	0.2 	0.2 	0.2 	0.2 	3.8
Sat Aug 9 22:00 	0.2 	0.19 	0.19 	0.2 	3.8
Sat Aug 9 20:59 	0.19 	0.19 	0.19 	0.19 	3.8
Sat Aug 9 19:58 	0.19 	0.19 	0.19 	0.19 	3.9
Sat Aug 9 19:03 	0.19 	0.18 	0.18 	0.19 	3.8
Sat Aug 9 18:03 	0.2 	0.16 	0.17 	0.18 	3.8
Sat Aug 9 16:59 	0.18 	0.16 	0.17 	0.18 	3.9
Sat Aug 9 16:00 	0.2 	0.2 	0.21 	0.19 	4.6
Sat Aug 9 14:59 	0.21 	0.21 	0.2 	0.2 	4.6
Sat Aug 9 13:01 	0.23 	0.22 	0.22 	0.22 	4.6
Sat Aug 9 12:02 	0.22 	0.23 	0.23 	0.22 	4.6
Sat Aug 9 10:59 	0.23 	0.23 	0.24 	0.22 	4.6
Sat Aug 9 10:00 	0.24 	0.24 	0.24 	0.23 	4.6
Sat Aug 9 09:03 	0.25 	0.25 	0.24 	0.25 	3.8
Sat Aug 9 07:00 	0.23 	0.23 	0.23 	0.24 	3.8
Sat Aug 9 06:03 	0.22 	0.24 	0.22 	0.24 	3.8
Sat Aug 9 03:59 	0.23 	0.23 	0.24 	0.23 	3.8
Sat Aug 9 03:01 	0.24 	0.24 	0.23 	0.24 	3.8
Sat Aug 9 01:58 	0.23 	0.21 	0.22 	0.22 	3.8
Sat Aug 9 01:01 	0.24 	0.24 	0.23 	0.24 	3.8
Fri Aug 8 23:59 	0.24 	0.23 	0.24 	0.25 	3.8
Fri Aug 8 23:02 	0.25 	0.25 	0.23 	0.24 	3.9
Fri Aug 8 21:58 	0.23 	0.23 	0.23 	0.25 	3.9
Fri Aug 8 20:58 	0.26 	0.24 	0.24 	0.24 	3.9
Fri Aug 8 20:03 	0.26 	0.25 	0.25 	0.25 	3.9
Fri Aug 8 18:59 	0.24 	0.26 	0.26 	0.26 	3.9
Fri Aug 8 17:59 	0.29 	0.28 	0.26 	0.27 	4.6
Fri Aug 8 16:59 	0.3 	0.3 	0.27 	0.28 	4.6
Fri Aug 8 15:59 	0.31 	0.3 	0.3 	0.31 	4.6
Fri Aug 8 15:00 	0.33 	0.34 	0.33 	0.32 	4.6
Fri Aug 8 14:01 	0.34 	0.33 	0.34 	0.33 	3.9
Fri Aug 8 12:59 	0.34 	0.34 	0.34 	0.34 	4.6
Fri Aug 8 11:59 	0.35 	0.35 	0.35 	0.34 	4.6
Fri Aug 8 10:59 	0.35 	0.35 	0.35 	0.35 	3.9
Fri Aug 8 10:00 	0.36 	0.35 	0.35 	0.36 	4.6
Fri Aug 8 09:02 	0.36 	0.36 	0.36 	0.36 	4.6
Fri Aug 8 08:03 	0.36 	0.36 	0.36 	0.36 	3.9
Fri Aug 8 06:00 	0.34 	0.35 	0.35 	0.35 	3.8
Fri Aug 8 05:01 	0.34 	0.34 	0.35 	0.34 	3.9
Fri Aug 8 03:58 	0.33 	0.34 	0.34 	0.33 	3.9
Fri Aug 8 02:58 	0.3 	0.32 	0.31 	0.32 	3.9
Fri Aug 8 02:01 	0.28 	0.29 	0.28 	0.3 	3.9
Fri Aug 8 01:03 	0.26 	0.28 	0.28 	0.28 	3.9
Fri Aug 8 00:00 	0.27 	0.28 	0.28 	0.28 	3.9
Thu Aug 7 23:00 	0.26 	0.25 	0.26 	0.25 	3.9
Thu Aug 7 21:00 	0.22 	0.23 	0.23 	0.25 	3.9
Thu Aug 7 20:00 	0.21 	0.22 	0.23 	0.22 	3.9
Thu Aug 7 18:58 	0.2 	0.2 	0.21 	0.21 	3.9
Thu Aug 7 17:58 	0.21 	0.22 	0.21 	0.21 	3.9
Thu Aug 7 17:02 	0.21 	0.21 	0.2 	0.21 	4.6
Thu Aug 7 16:01 	0.19 	0.2 	0.2 	0.2 	3.9
Thu Aug 7 14:59 	0.19 	0.18 	0.2 	0.19 	4.0
Thu Aug 7 13:59 	0.18 	0.19 	0.18 	0.19 	3.9
Thu Aug 7 12:58 	0.19 	0.19 	0.18 	0.18 	3.9
Thu Aug 7 10:59 	0.19 	0.19 	0.19 	0.19 	4.6
Thu Aug 7 10:00 	0.17 	0.18 	0.18 	0.18 	4.6
Thu Aug 7 08:58 	0.19 	0.19 	0.2 	0.19 	4.6
Thu Aug 7 08:00 	0.18 	0.18 	0.18 	0.19 	4.6
Thu Aug 7 07:01 	0.18 	0.18 	0.18 	0.2 	3.9
Thu Aug 7 06:01 	0.17 	0.18 	0.17 	0.18 	3.9
Thu Aug 7 04:59 	0.18 	0.17 	0.18 	0.18 	3.9
Thu Aug 7 03:59 	0.17 	0.18 	0.17 	0.18 	3.9
Thu Aug 7 03:03 	0.15 	0.15 	0.15 	0.16 	3.9
Thu Aug 7 01:59 	0.15 	0.16 	0.16 	0.16 	4.0
Thu Aug 7 00:59 	0.14 	0.15 	0.15 	0.14 	4.0
Wed Aug 6 23:58 	0.14 	0.14 	0.14 	0.14 	4.0
Wed Aug 6 22:58 	0.13 	0.14 	0.14 	0.14 	4.0
Wed Aug 6 22:02 	0.14 	0.14 	0.13 	0.13 	4.0
Wed Aug 6 21:01 	0.13 	0.14 	0.14 	0.14 	4.0
Wed Aug 6 19:59 	0.14 	0.14 	0.13 	0.14 	4.0
Wed Aug 6 18:58 	0.14 	0.14 	0.14 	0.14 	4.0
Wed Aug 6 18:03 	0.14 	0.12 	0.14 	0.13 	4.0
Wed Aug 6 16:59 	0.13 	0.14 	0.14 	0.14 	4.6
Wed Aug 6 16:00 	0.15 	0.14 	0.15 	0.14 	4.6
Wed Aug 6 15:04 	0.16 	0.17 	0.15 	0.17 	4.6
Wed Aug 6 13:02 	0.17 	0.17 	0.17 	0.18 	4.6
Wed Aug 6 12:01 	0.18 	0.18 	0.17 	0.17 	4.6
Wed Aug 6 10:59 	0.17 	0.18 	0.18 	0.18 	4.6
Wed Aug 6 09:03 	0.19 	0.19 	0.18 	0.19 	6.3
Wed Aug 6 08:04 	0.19 	0.19 	0.2 	0.19 	4.5
Wed Aug 6 07:00 	0.19 	0.19 	0.19 	0.2 	3.9
Wed Aug 6 06:01 	0.19 	0.19 	0.2 	0.2 	3.9
Wed Aug 6 05:02 	0.19 	0.2 	0.19 	0.2 	3.9
Wed Aug 6 03:59 	0.19 	0.19 	0.19 	0.19 	3.9
Wed Aug 6 03:00 	0.17 	0.18 	0.19 	0.19 	3.9
Wed Aug 6 00:01 	0.18 	0.19 	0.18 	0.17 	4.0
Tue Aug 5 23:02 	0.2 	0.19 	0.18 	0.18 	4.0
Tue Aug 5 21:59 	0.19 	0.18 	0.17 	0.18 	4.0
Tue Aug 5 20:59 	0.19 	0.19 	0.19 	0.18 	4.0
Tue Aug 5 20:03 	0.17 	0.18 	0.18 	0.19 	4.0
Tue Aug 5 19:00 	0.15 	0.15 	0.17 	0.16 	4.4
Tue Aug 5 18:00 	0.18 	0.16 	0.16 	0.18 	4.6
Tue Aug 5 15:01 	0.2 	0.21 	0.21 	0.2 	4.6
Tue Aug 5 14:02 	0.21 	0.22 	0.21 	0.21 	4.6
Tue Aug 5 13:00 	0.22 	0.22 	0.22 	0.21 	4.6
Tue Aug 5 11:03 	0.21 	0.22 	0.22 	0.21 	4.6
Tue Aug 5 10:04 	0.2 	0.21 	0.2 	0.22 	4.6
Tue Aug 5 09:03 	0.2 	0.21 	0.21 	0.2 	5.9
Tue Aug 5 08:00 	0.21 	0.21 	0.21 	0.21 	4.6
Tue Aug 5 07:05 	0.21 	0.2 	0.21 	0.21 	3.9
Tue Aug 5 06:02 	0.2 	0.2 	0.21 	0.21 	3.9
Tue Aug 5 05:01 	0.2 	0.2 	0.2 	0.2 	3.9
Tue Aug 5 04:02 	0.19 	0.19 	0.19 	0.2 	3.9
Tue Aug 5 02:01 	0.19 	0.19 	0.19 	0.2 	3.9
Tue Aug 5 01:02 	0.17 	0.16 	0.17 	0.18 	3.9
Tue Aug 5 00:04 	0.16 	0.16 	0.15 	0.17 	3.9
Mon Aug 4 23:00 	0.15 	0.16 	0.16 	0.16 	3.9
Mon Aug 4 22:03 	0.15 	0.15 	0.16 	0.15 	3.9
Mon Aug 4 21:05 	0.15 	0.15 	0.15 	0.15 	4.0
Mon Aug 4 20:00 	0.14 	0.15 	0.15 	0.15 	4.0
Mon Aug 4 19:01 	0.14 	0.15 	0.15 	0.15 	4.0
Mon Aug 4 18:05 	0.15 	0.15 	0.15 	0.15 	4.0
Mon Aug 4 17:02 	0.14 	0.15 	0.14 	0.15 	4.0
Mon Aug 4 16:02 	0.14 	0.14 	0.14 	0.14 	4.6
Mon Aug 4 14:01 	0.16 	0.16 	0.16 	0.16 	4.6
Mon Aug 4 13:03 	0.16 	0.16 	0.16 	0.17 	4.6
Mon Aug 4 12:03 	0.17 	0.16 	0.17 	0.16 	4.6
Mon Aug 4 11:02 	0.18 	0.17 	0.17 	0.18 	4.6
Mon Aug 4 09:04 	0.18 	0.18 	0.18 	0.17 	6.2
Mon Aug 4 08:04 	0.18 	0.19 	0.18 	0.19 	4.6
Mon Aug 4 07:01 	0.18 	0.18 	0.18 	0.18 	3.9
Mon Aug 4 06:04 	0.18 	0.17 	0.17 	0.18 	3.9
Mon Aug 4 05:06 	0.17 	0.19 	0.16 	0.17 	3.9
Mon Aug 4 03:04 	0.17 	0.18 	0.18 	0.17 	3.9
Mon Aug 4 02:03 	0.17 	0.17 	0.18 	0.16 	3.9
Mon Aug 4 01:01 	0.16 	0.17 	0.17 	0.17 	3.9
Mon Aug 4 00:02 	0.16 	0.16 	0.16 	0.18 	3.9
Sun Aug 3 23:05 	0.18 	0.17 	0.16 	0.17 	3.9
Sun Aug 3 22:02 	0.17 	0.17 	0.17 	0.17 	3.9
Sun Aug 3 21:02 	0.17 	0.17 	0.18 	0.17 	3.9
Sun Aug 3 20:05 	0.16 	0.17 	0.17 	0.17 	4.0
Sun Aug 3 19:02 	0.15 	0.15 	0.15 	0.16 	4.5
Sun Aug 3 18:02 	0.14 	0.13 	0.15 	0.15 	4.2
Sun Aug 3 17:02 	0.17 	0.16 	0.15 	0.15 	4.6
Sun Aug 3 15:05 	0.18 	0.18 	0.19 	0.18 	4.6
Sun Aug 3 14:04 	0.19 	0.19 	0.18 	0.18 	4.6
Sun Aug 3 13:02 	0.21 	0.21 	0.21 	0.19 	4.6
Sun Aug 3 12:03 	0.21 	0.22 	0.21 	0.21 	4.6

